FDM Themenbereich;RDM content aspect;Lernziele [Kompetenzbereiche, Niveaustufe];Learning objectives [competence area(s) adressed, learning level(s)];Lernziele [Kompetenzbereiche, Niveaustufe];Learning objectives [competence area(s) adressed, learning level(s)];Lernziele [Kompetenzbereiche, Niveaustufe];Learning objectives [competence area(s) adressed, learning level(s)];Lernziele [Kompetenzbereiche, Niveaustufe];Learning objectives [competence area(s) adressed, learning level(s)];;;
"Inhalte: verschiedene Speichersysteme (Vor- und Nachteile); Backup-Strategien; Backup-Dienste; 3-2-1-Regel. ";"Contents: different storage systems (advantages and disadvantages); backup strategies; backup services; 3-2-1 rule. ";... verschiedene Speichersysteme benennen. [SK 1];... name different storage systems. [PC 1];... beschreiben, für welche Anforderungen und Anwendungsszenarien welche Speichersysteme geeignet sind. [SK 3];... describe which storage systems are suitable for which requirements and application scenarios. [PC 3];... können bei gegebenen Anforderungen ein geeignetes Speichersystem auswählen. [SK 3];... can select a suitable storage system for given requirements. [PC 3];... zu Strategien für ein sicheres Backup schulen und beraten. [SK 3, MK3, SoK 3] ;... train and advise on strategies for a secure backup. [PC 3, MC 3, SC 3];;;
;;... erklären, was ein Backup ist. [SK 2];... explain what a backup is. [PC 2];... den Nutzen und die Risiken verschiedener Speichersysteme und unterschiedlicher Speicherorganisation aufzählen. [SK 1];... list the benefits and risks of different storage systems and different storage organisation. [PC 1];... eine eigene Backup-Strategie entwickeln und anwenden. [MK 3];... develop and apply their own backup strategy. [MC 3];... die lokalen Backup-Dienste aufzeigen und Vor- und Nachteile einzelner Dienste gegenüberstellen. [SK 2] ;... point out local backup services and compare advantages and disadvantages of individual services. [PC 2];;;
;;... darstellen, warum man Backups nutzen sollte. [SK 2];... explain why backups should be used. [PC 2];... unter Anleitung eine eigene Backup-Strategie entwickeln und anwenden. [MK 3];... develop and apply their own backup strategy under guidance. [MC 3];... andere Forschende dabei unterstützen, ein bestehendes Speichersystem und eine bestehende Backup-Strategie zu nutzen. [MK 3];... support other researchers in using an existing storage system and backup strategy. [MC 3];... die jeweils geeignetsten Speichersysteme für spezifische Anforderungen und Anwendungsszenarien auswählen. [SK 4, MK 4];... select the most suitable storage systems for specific requirements and application scenarios. [PC 4, MC 4];;;
;;... die 3-2-1-Regel in eigenen Worten wiedergeben. [SK 2];... state the 3-2-1 rule in their own words. [PC 2];... die 3-2-1-Regel auf ihre eigenen Daten anwenden. [SK 3];... apply the 3-2-1 rule to their own data. [PC 3];;;... die jeweiligen Vorteile und Risiken der verschiedenen Speichersysteme und unterschiedliche Speicherorganisation in einem spezifischen Kontext beurteilen. [SK 5, MK 5];... assess the respective advantages and risks of the different storage systems and different storage organisation in a specific context. [PC 5, MC 5];;;
;;;;... verschiedene institutionelle Backup-Lösungen auflisten. [SK 1];... list different institutional backup solutions. [PC 1];;;... Kriterien benennen, die verschiedene Speichersysteme als geeignet für verschiedene Anwendungen und Szenarien kennzeichnen. [SK 4];... name criteria that characterise different storage systems as suitable for different applications and scenarios. [PC 4];;;
;;;;;;;;... Vorteile und Risiken verschiedener Speichersysteme beurteilen. [SK 5];... assess the advantages and risks of different storage systems. [PC 5];;;
Datensicherheit ;Data safety;Lernende können...;Learners are able to…;Lernende können...; Learners are able to...;Lernende können...;Learners are able to...;Lernende können...;Learners are able to...;;;
"Inhalte: Zugangskontrolle/Zugriffskontrolle/Zugriffsrechte; Richtlinien; Datensicherheitsmaßnahmen.";"Contents: Access control/access management/access rights; policies; data security measures.



";... allgemeine Anforderungen an Datenschutz und Zugangskontrolle nennen. [SK 1];... state general requirements for data protection and access control. [PC 1];... den Inhalt von Richtlinien in Bezug auf Datenschutz beschreiben. [SK 1];... describe the content of policies in relation to data protection. [PC 1];... den Inhalt von Richtlinien in Bezug auf Datenschutz und Zugriffskontrollen auf eigene Daten anwenden. [SK 3, MK 3];... apply the content of policies relating to data protection and access management to own data. [PC 3, MC 3];... beschreiben aufgrund welcher Aspekte, die Sicherheit von Daten ein wichtiger Bestandteil des FDM ist und diese Aspekte an andere vermitteln. [SK 2, MK 3, SoK 3];... describe which aspects make data security an important part of RDM and communicate these aspects to others. [PC 2, MC 3, SC 3];;;
;;... Beispiele für Richtlinien zu Zugangskontrollen nennen. [SK 1];... give examples of access control policies. [PC 1];... den Inhalt von Richtlinien in Bezug auf Zugriffskontrolle beschreiben. [SK 1];... describe the content of policies in relation to access management. [PC 1] ;;;... beschreiben, warum die Verteilung und Aktualisierung von Zugriffsrechten wichtige Aspekte des FDM sind und dies an andere vermitteln. [SK 3, MK 3, SoK 3];... describe why the  assignment and updating of access rights are important aspects of RDM and communicate this to others. [PC 3, MC 3, SC 3];;;
;;;;... die Verwendung von Richtlinien in Bezug auf Datenschutz erläutern. [SK 2];... explain the use of policies in relation to data protection. [PC 2];;;... Methoden zur Erhöhung der Sicherheit von Forschungsdaten erläutern, anwenden und vermitteln. [SK 2, MK 2, SoK 3];... explain, apply and communicate methods to increase the security of research data. [PC 2, MC 2, SC 3];;;
;;;;... die Verwendung von Richtlinien in Bezug auf Zugriffskontrolle erläutern. [SK 2];... explain the use of policies in relation to access control. [PC 2];;;... Methoden zur Einrichtung von Zugriffsrechten und deren Vergabekriterien erläutern und vermitteln. [SK 2, MK 2];... explain and communicate methods for setting up access rights and their allocation criteria. [PC 2, MC 2];;;
;;;;... darlegen, warum Datenschutz im Kontext des FDM notwendig ist. [SK 2];... explain why data protection is necessary in the context of RDM. [PC 2];;;... Anfragen zur Datensicherheit beantworten und anderen hierzu Orientierung geben. [SK 5, MK 5];... answer enquiries about data security and provide guidance to others. [PC 5, MC 5];;;
;;;;;;;;;;;;
Datenqualität;Data quality;Lernende können...;Learners are able to...;Lernende können...;Learners are able to...;Lernende können...;Learners are able to...;Lernende können…;Learners are able to...;;;
"Inhalte: Bedeutung von Daten für Information und Wissen; Qualitätsbegriff; Modelle/Kriterien zur Bewertung von Datenqualität; Qualität tabellarischer Daten. ";"Contents: Significance of data for information and knowledge; concept of quality; models/criteria for assessing data quality; quality of tabular data. ";... Datenqualität und ihre Parameter definieren. [SK 1] ;... define data quality and its parameters. [PC 1];"... den Begriff ""Datenqualität"" bezogen auf ihre Daten erläutern. [MK3]";"... explain the term ""data quality"" in relation to their data. [MC 3]";... identifizierte Qualitätsmängel in ihren Daten eigenständig korrigieren. [SK 3];... independently correct identified quality deficiencies in their data. [PC 3];... Maßnahmen zur Qualitätsverbesserung von Daten erläutern und vermitteln. [SK 3, MK 2, SoK 3];... explain and communicate measures to improve the quality of data. [PC 3, MC 2, SC 3];;;
;;... verschiedene Aspekte von Datenqualität (inhaltsbezogen, kontextbezogen, darstellungsbezogen und zugangsbezogen) erläutern. [SK 1];... explain different aspects of data quality (content-related, context-related, presentation-related and access-related). [PC 1];... qualitative Mängel in eignen und fremden Daten identifizieren. [MK 4] ;... identify qualitative deficiencies in own and external data. [MC 4];... die Qualität von Daten bezogen auf ihren Verwendungszweck bewerten. [MK 5];... evaluate the quality of data in relation to their intended use. [MC 5];... die Qualität von Daten bewerten. [SK 5];... evaluate the quality of data. [PC 5];;;
;;... Maßnahmen zur Qualitätsverbesserung von Daten aufzählen. [MK 1];... list measures to improve the quality of data. [MC 1];... identifizierte Qualitätsmängel in ihren Daten unter Anleitung korrigieren. [SK 3, MK 3];... correct identified quality deficiencies in their data under guidance. [PC 3, MC 3];... Daten entsprechend den Standards guter Datenqualität erzeugen. [MK 6] ;... produce data according to good data quality standards. [MC 6];... Strategien und Prozesse zur Qualitätsverbesserung von Daten entwickeln und hierzu beraten. [MK 6];... develop and advise on strategies and processes to improve the quality of data. [MC 6];;;
;;... Strategien zur Fehlervermeidung beim Umgang mit Daten beschreiben. [SK 2] ;... describe strategies for avoiding errors when handling data. [PC 2];... Strategien zur Fehlervermeidung beim Umgang mit Daten beschreiben und anwenden. [SK 3];... describe and apply strategies to avoid errors when handling data. [PC 3];;;;;;;
;;... Daten strukturiert in Tabellenform ablegen, so dass sie von Analysewerkzeugen gut verwertet werden können. [MK 3] ;... store data in tabular form in a structured way so that they can be well utilised by analysis tools. [MC 3];;;;;;;;;
Tools;Tools;Lernende können...;Learners are able to...;Lernende können...;Learners are able to...;Lernende können...;Learners are able to...;Lernende können...;Learners are able to...;;;
Inhalte: FDM-Tools.;Contents: Research data management RDM tools.;... verschiedene hilfreiche Tools zum Datenmanagement (in verschiedenen Forschungsphasen) benennen. [SK 1];... name different helpful tools for data management (at different stages of research). [PC 1];... verschiedene hilfreiche Tools zum Datenmanagement unter Anleitung (in verschiedenen Forschungsphasen) anwenden. [MK 3];...... use different helpful tools for data management under guidance (in different research stages). [MC 3];... sich bewusst und begründet für oder gegen Tools entscheiden. [SK 3];... make a conscious and well-founded decision for or against tools. [PC 3];… zu verschiedene hilfreichen Tools zum Datenmanagement (in verschiedenen Forschungsphasen) beraten und schulen. [SK 3, SoK 3];... advise and train on different helpful tools for data management (in different research stages). [PC 3, SC 3];;;
;;... ihren individuellen Ansprüchen und Aufgaben entsprechende Tools recherchieren. [SK 1];... search for tools appropriate to their individual needs and tasks. [PC 1];;;... eigenständig verschiedene hilfreiche Tools zum Datenmanagement (in verschiedenen Forschungsphasen) anwenden. [MK 3] ;... independently apply different helpful tools for data management (in different research stages stages). [MC 3] ;... projektspezifisch und zu individuellen Ansprüchen und Aufgaben bezüglich passender Tools Orientierung bieten. [SK 3, MK 3, SoK 3];"... provide guidance on suitable tools for specific projects and individual needs and tasks. [PC 3, MC 3, SC 3] 

Typo im Original: das ""K"" von ""MC 3"" ist klein";;;
;;;;;;... unter Zuhilfenahme der Grundfunktionen des Versionierungssystem Git (GitHub oder GitLab) Projekte unter Anleitung anlegen, kollaborativ betreiben. [MK 3] ;... create and collaborate on projects with the help of the basic functions of the versioning system Git (GitHub or GitLab). [MC 3] ;... unter Zuhilfenahme der Grundfunktionen des Versionierungssystem Git (GitHub oder GitLab) Projekte anlegen, kollaborativ betreiben, abschließen und andere hierzu beraten. [MK 6];... create, collaborate, complete and advise others on projects using the basic functions of the Git versioning system (GitHub or GitLab). [MC 6];;;
(Forschungs-)Software & Coding;(Research) Software & Coding;Lernende können... ;Learners are able to...;Lernende können...;Learners are able to...;Lernende können... ;Learners are able to...;Lernende können...;Learners are able to...;;;
"Inhalte: Daten auswerten; geeignete Software nutzen; Grundkenntnisse der Programmierung.";"Contents: Evaluating data; using suitable software; basic knowledge of programming.";... geeignete Software für die Auswertung von Daten benennen. [SK 1];... name suitable software for the evaluation of data. [PC 1];... unter Zuhilfenahme geeigneter Software (selbst erhobene) Daten analysieren. [MK 4];... analyse (self-collected) data with the help using of suitable software. [MC 4];... mit geeigneter Software nachhaltig und effizient mit Daten umgehen. [MK 3];... handle data sustainably and efficiently with suitable software. [MC 3];... mit Forschungssoftware (z. B. Datenauswertungsprogrammen, Versionierungssoftware, Archivierungssoftware) nachhaltig umgehen. [MK 3];... deal with research software (e.g. data analysis programmes, versioning software, archiving software) in a sustainable way. [MC 3];;;
;;... unter Zuhilfenahme geeigneter Software aus vorliegenden Daten grundlegende Kennwerte berechnen. [MK 3];... calculate basic characteristic values from available data using suitable ftware. [MC 3];... unter Zuhilfenahme geeigneter Software (selbst erhobene) Daten grafisch auswerten. [MK 4] ;... analyse (self-collected) data graphically with the help of using suitable software. [MC 4];... in einer Programmiersprache unter Zuhilfenahme der grundlegenden Programmierstrukturen (Eingabe, Ausgabe, Berechnungen, Schleife, Verzweigung, Unterprogramme mit Schnittstelle) eigene Auswertungsprogramme entwickeln. [MK 6] ;... develop their own evaluation programs in a programming language using basic programming structures (input, output, calculations, loop, branching, subroutines with interface). [MC 6];... mit Daten effizient umgehen und Konzepte für Automatisierung und Reproduzierbarkeit erstellen. [MK 6];... deal with data efficiently and create concepts for automation and reproducibility. [MC 6];;;
;;... unter Zuhilfenahme geeigneter Software vorliegende Daten grafisch darstellen. [MK 3];... present data graphically  using suitable software. [MK 3];;;... die wesentlichen Grundlagen zum Aufbau und Nutzung von Datenbanksystemen wiedergeben und anwenden. [SK 3, MK 4];... reproduce and apply the essential principles of the structure and use of database systems. [PC 3, MC 4];... Forschenden geeignete Forschungssoftware empfehlen bzw. zu weiterführenden Anliegen auf entsprechende Kontaktstellen verweisen. [SoK 5];... recommend suitable research software to researchers or refer them to appropriate contact points for further concerns questions. [SC 5];;;
;;;;;;;;... Forschende bei der Entwicklung von nachhaltigen Konzepten für die (Nach-)Nutzung von Forschungssoftware sowie den Daten und Ergebnissen beraten. [SoK 6];... advise researchers on the development of sustainable concepts for the reuse of research software as well as data and results. [SC 6];;;
;;;;;;;;... Grundlagen der Betriebssysteme sowie Grundlagen der Programmierung vermitteln. [MK 6];... teach the basics of operating systems as well as the basics of programming. [MC 6];;;
 FDM Themenbereich;RDM content aspect;Lernziele [Kompetenzbereiche, Niveaustufe];Learning objectives [competence area(s) adressed, learning level(s)];Lernziele [Kompetenzbereiche, Niveaustufe];Learning objectives [competence area(s) adressed, learning level(s)];Lernziele [Kompetenzbereiche, Niveaustufe];Learning objectives [competence area(s) adressed, learning level(s)];Lernziele [Kompetenzbereiche, Niveaustufe];Learning objectives [competence area(s) adressed, learning level(s)];;;
;;Bachelor ;Bachelor ;Master;Master;PhD;PhD;Data Stewards;;;;
Dokumentation und Metadaten;Documentation and metadata;;;wie Bachelor+;like Bachelor +;wie Bachelor + Master +;like Bachelor + Master +;wie Bachelor + Master + PhD +;like Bachelor + Master+ PhD +;;;
Datendokumentation;Data documentation;Lernende können...;Learners are able to...;Lernende können...;Learners are able to...;Lernende können...;Learners are able to...;Lernende können...;Learners are able to...;;;
"Inhalte: Vorteile einer Datendokumentation; typische Inhalte einer Datendokumentation; verschiedene Formen einer Datendokumentation.";"Content: Advantages of data documentation; typical content and structure of data documentation; different forms of data documentation.";... beschreiben, was eine Datendokumentation ist. [SK 1];... describe what is meant by the term data documentation. [PC 1];... nachvollziehbare Argumente und Kriterien für eine nachhaltige Datendokumentation benennen. [SK 2];... name comprehensible arguments and criteria for a sustainable data documentation. [PC 2];... eigenständig eine komplexe Datendokumentation erstellen. [MK 3];... independently create complex data documentation. [MC 3];... Inhalte und Bedeutung einer Datendokumentation vermitteln. [SK 3, MK 3, SoK 3];... teach the components and the significance of data documentation. [PC 3, MC 3, SC 3];;;
;;... erläutern, welche Funktionen eine Datendokumentation erfüllt. [SK 2];... explain the pupose of data documentation. [PC 2];... anhand von Beispielen Vor- und Nachteile verschiedener Dokumentationsformen beschreiben. [SK 5];... describe advantages and disadvantages of different forms of documentation using examples. [PC 5];... eine Datendokumentation für ihre eigenen Forschungsdaten erstellen. [MK 6];... independently create data documentation for their own research data. [MC 3];... vermitteln, wieso die Datendokumentation wichtig für die Nachnutzung von Daten ist. [SK 2, SoK 3];... explain the importance of data documentation for the reuse of data. [PC 2, SC 3];;;
;;... Komponenten/Inhalte einer Datendokumentation beschreiben. [SK 1];... describe the components and typical content of a data documentation. [PC 2];... eigenständig einfache Datendokumentationen erstellen. [MK 3];... independently create basic data documentation. [MC 3];;;... einen nachvollziehbaren Workflow für Datendokumentationen erarbeiten und vermitteln. [SK 4, MK 5, SoK 3];... develop and communicate a comprehensible workflow for data documentation. [PC 4, MC 5, SC 3];;;
;;... angeleitet einfache Datendokumentationen für eigene Forschungsdaten formulieren. [MK 3];... create basic data documentation for their own research data with guidance. [MC 3];;;;;... verschiedene Werkzeuge und Methoden zur Datendokumentation benennen und deren Nutzung anleiten. [SK 3, MK 3, SoK 3];... name different tools and methods for data documentation and instruct their use. [PC 3, MC 3, SC 3];;;
;;... verschiedene Werkzeuge und Methoden zur Dokumentation benennen. [SK 1];... name different tools and methods for documentation. [PC 1];;;;;... Dritte bzgl. ihrer Datendokumentationen beratend unterstützen. [SK 4, MK 3];... provide support and advise for third parties with regard to their data documentation. [PC 4, MC 5];;;
;;;;;;;;... Vorlagen für Datendokumentationen entwickeln. [SK 5, MK 5];... develop templates for data documentation. [PC 5, MC 5];;;
Metadaten und Metadatenstandards;Metadata and metadata standards;Lernende können…;Learners are able to...;Lernende können… ;Learners are able to...;Lernende können… ;Learners are able to...;Lernende können… ;Learners are able to...;;;
"Inhalte: Definition Metadaten; Formen von Metadaten; Metadatenstandards; Funktion von Metadaten; Möglichkeiten der Speicherung von Metadaten; Metadatenformate; Interoperabilität von Metadaten.";"Contents: Definition of metadata; types of metadata; metadata standards; function of metadata; possibilities of storing metadata; metadata formats; interoperability of metadata.";… die Begriffe Metadaten, Normdaten und kontrolliertes Vokabular erläutern. [SK 1];... explain the terms metadata, norm data and controlled vocabulary. [PC 1];… verschiedene Metadatenstandards benennen. [SK 1];... name different metadata standards. [PC 1] ;… eigenständig nach Metadatenstandards recherchieren. [MK 3];... research independently according to metadata standards. [MC 3];... die Begriffe Metadaten, Normdaten und kontrolliertes Vokabular erläutern. [SK 1];... explain the terms metadata, standards data and controlled vocabulary. [PC 1];;;
;;… den Nutzen der Verwendung von Metadaten beschreiben. [SK 2];... describe the benefits of using metadata. [PC 2];… unter Anleitung Metadatenstandards finden. [MK 2];... find metadata standards under guidance. [MC 2];... eigenständig passende (disziplinspezifische) Metadatenstandards auswählen. [MK 3];... independently select suitable (discipline-specific) metadata standards. [MC 3];... vermitteln, welche verschiedenen Metadatenstandards existieren. [SK 2, MK 2, SoK 3];... communicate which different metadata standards exist. [PC 2, MC 2, SC 3];;;
;;… erläutern, was ein Metadatenstandard ist. [SK 1];... explain what a metadata standard is. [PC 1];… ihre Daten auf Basis vorgegebener, einfacher Standards mit Metadaten beschreiben. [MK 3];... describe their data with metadata on the basis of given, simple standards. [MC 3];… ihre Daten eigenständig auf Basis vorhandener Standards beschreiben. [MK 3];... describe their data independently on the basis of existing standards. [MC 3];... vermitteln, wofür Metadatenstandards verwendet werden. [SK 3];... communicate what metadata standards are used for. [PC 3];;;
;;… erläutern, welche Funktionen Metadaten (insb. für die Nachnutzung von Daten) haben. [SK 1];... explain what functions metadata have (especially for the subsequent use of data). [PC 1];… Metadaten auslesen. [MK 3];... read out metadata. [MC 3];... verschiedene Metadatenformate benennen und beschreiben. [SK 5];... name and describe different metadata formats. [PC 5];... vermitteln, wie und wo passende (disziplinspezifische) Metadatenstandards gefunden werden. [SoK 3];... communicate how and where suitable (discipline-specific) metadata standards are found. [SC 3];;;
;;;;;;;;... gängige Metadatenvokabulare anwenden. [MK 3];... apply common metadata vocabularies. [MC 3];;;
;;;;;;;;... maßgebliche Initiativen und Projekte zum Thema benennen. [SK 1];... name relevant initiatives and projects on the topic. [PC 1];;;
;;;;;;;;... bzgl. der Auswahl von Metadatenstandards projektspezifisch beratend unterstützen. [SK 4, MK 4, SoK 3];... provide project-specific advice on the selection of metadata standards. [PC 4, MC 4, SC 3];;;
Persistente Identifikatoren;Persistent identifiers;Lernende können...;Learners are able to...;Lernende können…;Learners are able to...;Lernende können...;Learners are able to...;Lernende können...;Learners are able to...;;;
"Inhalte: Definition persistente Identifikatoren (PID); Vor- und Nachteile von PIDs; Funktionen von PIDs; nähere Beschreibung ausgewählter PIDs; Aufbau von PIDs.";"Contents: Definition of persistent identifiers (PID); advantages and disadvantages of PIDs; functions of PIDs; detailed description of selected PIDs; structure of PIDs.";… beschreiben, was ein PID ist. [SK 1];... describe what a PID is. [PC 1;… den allgemeinen Aufbau eines PID beschreiben. [SK 2];... describe the general structure of a PID. [PC 2];... PIDs zu Recherche- und zu Referenzierungszwecken nutzen. [MK 3];... Use PIDs for research and referencing purposes. [MC 3];... die Funktionen von PIDs vermitteln. [SK 2, SoK 3] ;... teach the functions of PIDs. [PC 2, SC 3] ;;;
;;... Funktionen von PIDs beschreiben. [SK 2];... describe the functions of PIDs. [PC 2];... den Nutzen von PID beschreiben. [SK 2];... describe the benefits of PIDs. [PC 2];… für die eigene Person/eigene Daten PIDs anlegen. [MK 3];... create PIDs for their own person/data. [MC 3];... zur Auswahl und Nutzung von PIDs beraten. [SK 2, SoK 3];... advise on the selection and use of PIDs. [PC 2, SC 3];;;
;;... Beispiele für verschiedene PIDs benennen. [SK 1];... name examples of different PIDs. [PC 1] ;… PIDs für die die Recherche nutzen. [MK 2];... use PIDs for research. [MC 2];... PIDs für kollaboratives Arbeiten nutzen. [MK 3];... use PIDs for collaborative work. [MC 3];;;;;
;;;;;;... den Nutzen von PIDs kritisch diskutieren. [SK 3, SoK 3];... critically discuss the benefits of PIDs. [PC 3, SC 3];;;;;
Ontologien und kontrollierte Vokabulare;Ontologies and controlled vocabularies;Lernende können...;Learners are able to...;Lernende können...;Learners are able to...;Lernende können...;Learners are able to...;Lernende können...;Learners are able to...;;;
"Inhalte: Ontologien; Vokabulare; Terminologien; Verzeichnisse.";"Contents: Ontologies; vocabularies; terminologies; directories.";... die Rolle von Ontologien und Vokabularen erklären. [SK 1];... explain the role of ontologies and vocabularies. [PC 1] ;... die Verwendung von Ontologien und Vokabularen als solche einordnen. [SK 3];... classify the use of ontologies and vocabularies as such. [PC 3];... Ontologien zur Beschreibung von Ressourcen exemplarisch anwenden. [MK 3];... apply ontologies to describe resources in an exemplary way. [MC 3];... die Verwendung von Ontologien allgemein beschreiben. [SK 2];... describe the use of ontologies in general terms. [PC 2];;;
;;;;... domänenrelevante Ontologien als solche einordnen. [SK 3];... classify domain-relevant ontologies as such. [PC 3];;;... den Nutzen von Ontologien beschreiben und vermitteln. [SK 2, SoK 3];... describe and communicate the usefulness of ontologies. [PC 2, SC 3];;;
;;;;;;;;... Ontologien entwickeln. [MK 6];... develop ontologies. [PC 6];;;
;;;;;;;;... bzgl. der Entwicklung von Ontologien projektspezifisch beratend unterstützen. [SK 4, MK 4];... provide project-specific advisory support for the development of ontologies. [PC 4, MC 4];;;
 FDM Themenbereich;RDM content aspect;Lernziele [Kompetenzbereiche, Niveaustufe];Learning objectives [competence area(s) adressed, learning level(s)];Lernziele [Kompetenzbereiche, Niveaustufe];Learning objectives [competence area(s) adressed, learning level(s)];Lernziele [Kompetenzbereiche, Niveaustufe];Learning objectives [competence area(s) adressed, learning level(s)];Lernziele [Kompetenzbereiche, Niveaustufe];Learning objectives [competence area(s) adressed, learning level(s)];;;
;;Bachelor ;Bachelor ;Master;Master;PhD;PhD;Data Stewards;;;;
Langzeitarchivierung, Publikation, Nachnutzung;Long-term preservation, publication, reuse;;;wie Bachelor+;like Bachelor +;wie Bachelor + Master +;like Bachelor + Master +;wie Bachelor + Master + PhD +;like Bachelor + Master+ PhD +;;;
Langzeitarchivierung von Daten;Long-term preservation of data;Lernende können...;Learners are able to...;Lernende können...;Learners are able to...;Lernende können ;Learners are able to...;Lernende können... ;Learners are able to...;;;
"Inhalte: Anforderungen an Langzeitarchivierung (LZA); Kriterien für LZA; institutionelle und außerinstitutionelle Möglichkeiten der LZA; technische Aspekte der LZA.";"Contents: Requirements for long-term preservation (LTP); criteria for LTP; institutional and non-institutional possibilities of LTP; technical aspects of LTP.";... Kriterien nennen, nach denen Forschungsdaten für eine LZA ausgewählt werden sollten. [SK 1];... name criteria according to which research data should be selected for an LTP. [PC 1];... besondere Vorkehrungen beschreiben, die getroffen werden müssen, damit Daten für längere Zeit verfügbar und nachnutzbar sein können. [SK 2];... describe special precautions that must be taken so that data can be available and reusable for a longer period of time. [PC 2];... erklären, warum LZA von Forschungsdaten von Bedeutung ist. [SK 2] ;... explain why LTP of research data is important. [PC 2];... besondere Anforderungen einer LZA von Forschungsdaten beschreiben und vermitteln. [SK 2, SoK 3] ;... describe and communicate special requirements of the LTP of research data. [PC 2, SC 3];;;
;;... sich mit Fragen zur Nachhaltigkeit von Forschungsdaten kritisch auseinandersetzen. [SK 2];... critically discuss questions about the sustainability of research data. [PC 2];... besondere Anforderungen für eine LZA von Forschungsdaten beschreiben. [SK 1];... describe special requirements for the LTP of research data. [PC 1];... Kriterien nennen, nach denen Repositorien für eine LZA ausgewählt werden sollten. [SK 2] ;... state criteria according to which repositories should be selected for LTP. [PC 2];... bezüglich besonderer Anforderungen an eine LZA von Forschungsdaten beraten. [SK 2, Sok 3] ;... advise on special requirements for the LTP of research data. [PC 2, SC 3];;;
;;;;... verschiedene Wege beschreiben, Daten langfristig zu archivieren. [SK1];... describe different ways of archiving data in the long term. [PC 1];... passende Repositorien für eine LZA eigenständig auswählen. [SK 5];... independently select suitable repositories for an LTP. [PC 5];... technische Aspekte erläutern, die für eine LZA zu berücksichtigt sind. [SK 2] ;... explain technical aspects to be considered for LTP. [PC 2];;;
;;;;... institutionelle Lösungen (Repositorien) nennen. [SK 1];... name institutional solutions (repositories). [PC 1];;;... darlegen, welche Vorkehrungen getroffen werden müssen, damit Daten für längere Zeit verfügbar sein können und ihre Authentizität und Integrität erhalten bleibt. [SK 4];... explain what precautions must be taken to ensure that data can be available for a longer period of time and that their authenticity and integrity are maintained. [PC 4];;;
;;;;... unter Anleitung institutionelle Lösungen anwenden. [SK 3];... apply institutional solutions under guidance. [PC 3];;;... projektspezifisch bzgl. passender Repositorien für eine LZA von Forschungsdaten beraten. [SK 5, SoK 3];... give project-specific advice on suitable repositories for the LTP of research data. [PC 5, SC 3];;;
Publikationswege für Daten;Publication channels for data;Lernende können …;Learners are able to...;Lernende können...;Learners are able to...;Lernende können... ;Learners are able to...;Lernende können...;Learners are able to...;;;
"Inhalte: Vor- und Nachteile verschiedener Publikationswege; Daten publizieren; verschiedene Arten von Repositorien.";"Contents: Advantages and disadvantages of different publication channels; publishing data; different types of repositories.";… erläutern, was eine Datenpublikation ist. [SK 1];... explain what a data publication is. [PC 1];... Vor- und Nachteile einer Datenpublikation diskutieren. [SK 4, SoK 3];... Discuss the advantages and disadvantages of data publication. [PC 4, SC 3];... den Nutzen und die Vorbehalte einer Datenpublikation kritisch diskutieren. [SK 3];... critically discuss the benefits and caveats of data publication. [PC 3];... den Nutzen von Datenpublikationen vermitteln. [SK 2, MK 3] ;...can communicate the benefits of data publications. [PC 2, MC 3];;;
;;… Bestandteile einer Datenpublikation nennen. [SK 2];... name the components of a data publication. [PC 2];...eigene Daten unter Anleitung publizieren. [MK 3];...publish their own data under guidance. [MC 3];... die Sinnhaftigkeit von Datenveröffentlichungen in spezifischen Fällen abwägen und bewerten. [SK 5];... weigh up and evaluate the usefulness of data publication in specific cases. [PC 5];... Vor- und Nachteile verschiedener Publikationswege für Daten projektbezogen vermitteln. [SK 2, MK 3];... communicate the advantages and disadvantages of different ways of publishing data in relation to a project. [PC 2, MC 3];;;
;;... verschiedene Publikationswege für Daten nennen. [SK 2];... name different ways of publishing data. [PC 2];;;... erläutern, welche Zusatzinformationen für einen Datensatz von Bedeutung sind. [SK 3] ;... explain which additional information is important for a data set. [PC 3];... bezüglich der Beachtung von Rechten Dritter bei Datenpublikationen Orientierung bieten. [SK 3, MK 2] ;... provide orientationguidance regarding the observance of third party rights in data publications. [PC 3, MC 2];;;
;;... Vor- und Nachteile einer Datenpublikation aufzählen. [SK 2];... list the advantages and disadvantages of data publication. [PC 2];;;... erläutern, in welchen Zusammenhängen die Rechte Dritter beachtet werden müssen. [SK 3] ;... explain in which contexts the rights of third parties must be observed. [PC 3];... erläutern und vermitteln, welche Zusatzinformationen für einen Datensatz von Bedeutung sind. [SK 2] ;... explain and convey which additional information is important for a data set. [PC 2];;;
;;;;;;...eigenständig Daten publizieren. [MK 4];... publish data independently. [MC 4];...andere anleiten, eigenständig Daten zu publizieren. [MK 4, SoK 3];...guide others to publish data on their own. [MC 4, SC 3];;;
Repositorien;Repositories;Lernende können...;Learners are able to...;Lernende können…;Learners are able to...;Lernende können...;Learners are able to...;Lernende können...;Learners are able to...;;;
